bigg	name	super_class	class	sub_class
epist	Episterol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergostane steroids
epm	Epimelibiose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
ergst	Ergosterol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergostane steroids
estriol	Estriol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids
estrone	Estrone	Lipids and lipid-like molecules	Steroids and steroid derivatives	Estrane steroids
etha	Ethanolamine	Organic nitrogen compounds	Organonitrogen compounds	Amines
etha	Ethanolaminium(1+)	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts
ethamp	O-Phosphoethanolamine	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
etoh	Ethanol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
f1p	D-fructose 1-phosphate	Organooxygen compounds	Carbonyl compounds	Ketones
f26bp	D-Fructose 2,6-bisphosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
f2p	Beta-D-Fructose 2-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
f6p	Fructose 6-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
f6p_B	Beta-D-Fructose 6-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
fad	FAD	Nucleosides, nucleotides, and analogues	Flavin nucleotides	
fald	Formaldehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
fdp_B	Fructose 1,6-bisphosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
fdp_B	beta-D-Fructose 1,6-bisphosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
fe2	Fe2+	Homogeneous metal compounds	Homogeneous transition metal compounds	
fer	trans-Ferulic acid	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives
fgam	5'-Phosphoribosyl-N-formylglycinamide	Nucleosides, nucleotides, and analogues	Glycinamide ribonucleotides	
fmet	N-Formyl-L-methionine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
fmnh2	FMNH2	Nucleosides, nucleotides, and analogues	Flavin nucleotides	
focytc	Ferrocytochrome	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Metallotetrapyrroles
fol	Folic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
for	Formic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids
forcoa	Formyl-CoA	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
forglu	Formiminoglutamic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
fpram	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
fprica	Phosphoribosyl formamidocarboxamide	Nucleosides, nucleotides, and analogues	Imidazole ribonucleosides and ribonucleotides	1-ribosyl-imidazolecarboxamides
frdp	Farnesyl pyrophosphate	Lipids and lipid-like molecules	Prenol lipids	Sesquiterpenoids
frmd	Formamide	Organic acids and derivatives	Carboximidic acids and derivatives	Carboximidic acids
fru	D-Fructose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
fru	Fructose-1P	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides
fuc12gal14acglcgalgluside_cho	IV2Fuc-nLc4Cer	Lipids and lipid-like molecules	Sphingolipids	Glycosphingolipids
fuc1p__L	Fucose 1-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
fuc__L	L-Fucose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
fuc__L	L-Fucose-1P	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
fucgalacglcgal14acglcgalgluside_cho	VI2Fuc-nLc6	Lipids and lipid-like molecules	Sphingolipids	Glycosphingolipids
fum	Fumaric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives
fumpyr	3-Fumarylpyruvate	Organic acids and derivatives	Keto acids and derivatives	Medium-chain keto acids and derivatives
fusa	Fusidic Acid	Lipids and lipid-like molecules	Steroids and steroid derivatives	Steroid esters
g15lac	Gluconolactone	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
g1p	Glucose 1-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
g3p	D-Glyceraldehyde 3-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
g3pe	sn-glycero-3-Phosphoethanolamine	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines
g3pi	1-(sn-Glycero-3-phospho)-1D-myo-inositol	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoinositols
g6p	Glucose 6-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
g6p_B	Beta-D-Glucose 6-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
ga	Gallic acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
gal	D-Galactose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
gal1p	Galactose 1-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
gal_bD	Beta-D-Galactose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
galct__D	Galactaric acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
galctr__D	Galactaric acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
galctn__D	Galactonic acid	Organic acids and derivatives	Hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives
galt	Galactitol	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
gam	Glucosamine	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
gar	Glycineamideribotide	Nucleosides, nucleotides, and analogues	Glycinamide ribonucleotides	
gcald	Glycolaldehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
gdchola	Chenodeoxyglycocholic acid	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives
gdp	Guanosine diphosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
gdpfuc	GDP-L-fucose	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine nucleotide sugars
gdpmann	Guanosine diphosphate mannose	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine nucleotide sugars
gdptp	Guanosine 3'-diphosphate 5'-triphosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
gg4abut	4-(Glutamylamino) butanoate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
ggdp	Geranylgeranyl-PP	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids
ghb	4-Hydroxybutyric acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
glc__D	D-Glucose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
glcn	Gluconic acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
glcn__D	Gluconic acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
glcr	Glucaric acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
glcr	D-Glucaric acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
glcur	D-Glucuronic acid	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
glcur1p	D-Glucuronic acid 1-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
glcurn	D-Glucurono-6,3-lactone	Organoheterocyclic compounds	Furofurans	Isosorbides
gln__L	L-Glutamine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glu5p	L-Glutamic acid 5-phosphate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glu5sa	L-Glutamic gamma-semialdehyde	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glu__D	D-Glutamic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glu__L	L-Glutamic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glu__L	DL-Glutamate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
gluala	gamma-Glutamylalanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glucys	gamma-Glutamylcysteine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
gluside_cho	Glucosylceramide	Lipids and lipid-like molecules	Sphingolipids	Glycosphingolipids
glutar	Glutaric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives
glutcoa	Glutaryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
glx	Glyoxylic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids
gly	Glycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
gly_leu__L	Glycylleucine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glyleu	Glycylleucine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
gly_phe__L	Glycyl-Phenylalanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glyphe	Glycyl-Phenylalanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glyb	Betaine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glyb	Trimethylammonioacetate	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glyc	Glycerol	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
glyc2p	Beta-Glycerophosphoric acid	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates
glyc3p	Glycerol 3-phosphate	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates
glyclt	Glycolic acid	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives
glycogen	Glycogen	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
glygly	Glycyl-glycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
glypro	Glycylproline	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
gmp	Guanosine monophosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
gp4g	Diguanosine tetraphosphate	Nucleosides, nucleotides, and analogues	(5'->5')-dinucleotides	
grdp	Geranyl-PP	Lipids and lipid-like molecules	Prenol lipids	Isoprenoid phosphates
gsn	Guanosine	Nucleosides, nucleotides, and analogues	Purine nucleosides	
gthox	Oxidized glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
gthrd	Glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
gthrd	Glutathionate(1-)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
gtocophe	Gamma-Tocopherol	Lipids and lipid-like molecules	Prenol lipids	Quinone and hydroquinone lipids
gtp	Guanosine triphosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
gua	Guanine	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives
guln__L	Gulonic acid	Organic acids and derivatives	Hydroxy acids and derivatives	Medium-chain hydroxy acids and derivatives
h	Hydrogen Ion	Homogeneous non-metal compounds	Other non-metal organides	Other non-metal hydrides
h2	Hydrogen	Homogeneous non-metal compounds	Other non-metal organides	Other non-metal hydrides
h2co3	Carbonic acid	Organic acids and derivatives	Organic carbonic acids and derivatives	Organic carbonic acids
h2co3	Carbonate	Organic acids and derivatives	Organic carbonic acids and derivatives	Organic carbonic acids
h2o	Hydroxide	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal hydroxides
oh1	Hydroxide	Homogeneous non-metal compounds	Non-metal oxoanionic compounds	Non-metal hydroxides
h2o	Water	Homogeneous non-metal compounds	Homogeneous other non-metal compounds	
oh1	Water	Homogeneous non-metal compounds	Homogeneous other non-metal compounds	
h2o2	Hydrogen peroxide	Homogeneous non-metal compounds	Homogeneous other non-metal compounds	
h2s	Hydrogen sulfide	Homogeneous non-metal compounds	Other non-metal organides	Other non-metal sulfides
h4mpt	5,6,7,8-Tetrahydromethanopterin	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
hLkynr	L-3-Hydroxykynurenine	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
ham	Hydroxylamine	Homogeneous non-metal compounds	Homogeneous other non-metal compounds	
hatrz	4-ethylamino-6-isopropylamino-1,3,5-triazin-2-ol	Organoheterocyclic compounds	Triazines	Aminotriazines
hco3	Hydrogen carbonate	Organic acids and derivatives	Organic carbonic acids and derivatives	Organic carbonic acids
hdca	Palmitic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
hdd2coa	(2E)-Hexadecenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
hemeA	Heme A	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Metallotetrapyrroles
hemeO	Heme O	Organoheterocyclic compounds	Tetrapyrroles and derivatives	Metallotetrapyrroles
hepdp	All-trans-heptaprenyl diphosphate	Lipids and lipid-like molecules	Prenol lipids	Polyprenols
hexdp	All-trans-hexaprenyl diphosphate	Lipids and lipid-like molecules	Prenol lipids	Polyprenols
hg2	Mercury	Homogeneous metal compounds	Homogeneous transition metal compounds	
hgentis	Homogentisic acid	Benzenoids	Benzene and substituted derivatives	Phenylacetic acids
his__L	L-Histidine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
hista	Histamine	Organic nitrogen compounds	Organonitrogen compounds	Amines
hista	Histamium	Organic nitrogen compounds	Organonitrogen compounds	Amines
histd	L-Histidinol	Organic nitrogen compounds	Organonitrogen compounds	Amines
hlys	Erythro-5-hydroxy-L-lysinium(1+)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
hmbil	Hydroxymethylbilane	Organoheterocyclic compounds	Tetrapyrroles and derivatives	
hmfurn	Norfuraneol	Organoheterocyclic compounds	Dihydrofurans	Furanones
hmgcoa	3-Hydroxy-3-methylglutaryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
hmgth	S-(Hydroxymethyl)glutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
hom__L	L-Homoserine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
hpa	Heptanoic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
hpal	Heptanal	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
hpdcal	Heptadecanal	Lipids and lipid-like molecules	Fatty Acyls	Fatty aldehydes
hpglu	Tetrahydropteroyltri-L-glutamate	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
hphaccoa	4-Hydroxyphenylacetyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
hpyr	Hydroxypyruvic acid	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives
hqn	Hydroquinone	Benzenoids	Phenols	Benzenediols
hspmd	4,4'-Diaminodibutylamine	Organic nitrogen compounds	Organonitrogen compounds	Amines
hxa	Caproic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
hxa	Caproate (6:0)	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
hxal	Hexanal	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
hxan	Hypoxanthine	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives
hxc2coa	(2E)-Hexacosenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
hxdcal	Palmitaldehyde	Lipids and lipid-like molecules	Fatty Acyls	Fatty aldehydes
i	Iodide	Homogeneous non-metal compounds	Homogeneous halogens	
i	I(-)	Homogeneous non-metal compounds	Halogen organides	Halogen hydrides
iad	1H-Indole-3-acetamide	Organoheterocyclic compounds	Indoles and derivatives	Indoles
iamac	Isopentyl acetate	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives
iamoh	Isopentanol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
iasp	Iminoaspartic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives
ibcoa	Isobutyryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
ibt	Isobutyric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids
ibutac	2-Methylpropyl acetate	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acid derivatives
ibutoh	Isobutanol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
icit	Isocitric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives
idp	IDP	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
ile__L	L-Isoleucine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
im4ac	Imidazoleacetic acid	Organoheterocyclic compounds	Azoles	Imidazoles
imzac	Imidazoleacetic acid	Organoheterocyclic compounds	Azoles	Imidazoles
im4act	Imidazole-4-acetaldehyde	Organoheterocyclic compounds	Azoles	Imidazoles
imzacd	Imidazole-4-acetaldehyde	Organoheterocyclic compounds	Azoles	Imidazoles
imacp	Imidazole acetol-phosphate	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters
imp	Inosinic acid	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
ind3ac	Indoleacetic acid	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives
ind3acnl	3-Indoleacetonitrile	Organoheterocyclic compounds	Indoles and derivatives	Indoles
ind3eth	Tryptophanol	Organoheterocyclic compounds	Indoles and derivatives	Indoles
indole	Indole	Organoheterocyclic compounds	Indoles and derivatives	Indoles
indpyr	Indolepyruvate	Organoheterocyclic compounds	Indoles and derivatives	Indolyl carboxylic acids and derivatives
inoshp	Myo-inositol hexakisphosphate	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
minohp	Myo-inositol hexakisphosphate	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
inost	myo-Inositol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
ins	Inosine	Nucleosides, nucleotides, and analogues	Purine nucleosides	
iodine	Iodine	Homogeneous non-metal compounds	Homogeneous halogens	
ipdp	Isopentenyl pyrophosphate	Lipids and lipid-like molecules	Prenol lipids	Isoprenoid phosphates
isetac	2-Hydroxyethanesulfonate	Organic acids and derivatives	Organic sulfonic acids and derivatives	Organosulfonic acids and derivatives
istnt	2-Hydroxyethanesulfonate	Organic acids and derivatives	Organic sulfonic acids and derivatives	Organosulfonic acids and derivatives
itaccoa	Itaconyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
itacon	Itaconic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
itp	Inosine triphosphate	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides
ivcoa	Isovaleryl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
ivcrn	Isovalerylcarnitine	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters
k	Potassium	Homogeneous metal compounds	Homogeneous alkali metal compounds	
lac6p	Lactose 6-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
lac__D	D-Lactic acid	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives
lac__L	L-Lactic acid	Organic acids and derivatives	Hydroxy acids and derivatives	Alpha hydroxy acids and derivatives
lald__D	D-Lactaldehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
lanost	Lanosterin	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids
leu__L	L-Leucine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
leugly	Leucyl-Glycine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
leuktrA4	Leukotriene A4	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
leuktrC4	Leukotriene C4	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
leuleu	Leucyl-Leucine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
lgt__S	S-Lactoylglutathione	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
lgt__S	(R)-S-lactoylglutathionate(1-)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
lido	Lidocaine	Benzenoids	Benzene and substituted derivatives	Xylenes
limnen	Polylimonene	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids
lipoate	(R)-lipoic acid	Organoheterocyclic compounds	Dithiolanes	Lipoic acids and derivatives
lnlc	Linoleic acid	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives
lnlccoa	Linoleoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
lnlccoa	9Z,12Z-octadecadienoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
lnlnca	Alpha-Linolenic acid	Lipids and lipid-like molecules	Fatty Acyls	Lineolic acids and derivatives
lnlncacoa	Alpha-Linolenoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
lnlncacoa	9Z,12Z,15Z-octadecatrienoyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
lpam	Lipoamide	Organoheterocyclic compounds	Dithiolanes	Lipoamides
lut	Lutein	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids
lycop	Lycopene	Lipids and lipid-like molecules	Prenol lipids	Tetraterpenoids
lys__D	D-Lysine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
lys__L	L-Lysine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
lys__L	L-lysinium(1+)	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
m1ocdca	Methyl stearate	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters
m2mn	(a-D-mannosyl)2-b-D-mannosyl-N-acetylglucosamine	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
m_tol	M-toluic Acid	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives
m_xyl	m-Xylene	Benzenoids	Benzene and substituted derivatives	Xylenes
mal__D	D-Malic acid	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
mal__L	L-Malic acid	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives
malcoa	Malonyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
male	Maleic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives
malon	Malonic acid	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives
malthp	Maltoheptaose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
malthx	Maltohexaose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
maltpt	Maltopentaose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
malttr	Maltotriose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
maltttr	Maltotetraose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
man	D-Mannose	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
man1p	D-Mannose 1-phosphate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
man6pglyc	2-O-(6-Phospho-alpha-mannosyl)-D-glycerate	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
mannan	Mannan	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Oligosaccharides
meglyxyl	Monoethylglycinexylidide	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
melanin	Melanin	Benzenoids	Anthracenes	
melt	Melibiitol	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides
meoh	Methanol	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
mercppyr	3-Mercaptopyruvic acid	Organic acids and derivatives	Keto acids and derivatives	Alpha-keto acids and derivatives
mergtrol	Delta 8,14 -Sterol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergostane steroids
met_L_phe__L	Methionyl-Phenylalanine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
met__L	L-Methionine	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues
methf	5,10-Methenyltetrahydrofolic acid	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
methf	(6R)-5,10-methenyltetrahydrofolate	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
mev__R	(R)-mevalonate	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates
mfecostrl	4a-Methylfecosterol	Lipids and lipid-like molecules	Steroids and steroid derivatives	Ergostane steroids
mg2	Magnesium	Homogeneous metal compounds	Homogeneous alkaline earth metal compounds	
mhista	1-Methylhistamine	Organic nitrogen compounds	Organonitrogen compounds	Amines
mhista	3-Methylhistamine	Organic nitrogen compounds	Organonitrogen compounds	Amines
mhista	N-Methylhistamine	Organic nitrogen compounds	Organonitrogen compounds	Amines
mhista	N(tele)-methylhistaminium	Organic nitrogen compounds	Organonitrogen compounds	Amines
mhpglu	5-Methyltetrahydropteroyltri-L-glutamate	Organoheterocyclic compounds	Pteridines and derivatives	Pterins and derivatives
mi3p__D	Myo-inositol 1-phosphate	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
mi3p__D	1D-myo-Inositol 3-phosphate	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
mi4p__D	D-Myo-inositol 4-phosphate	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols
micit	Methylisocitric acid	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives
mincyc	Minocycline	Phenylpropanoids and polyketides	Tetracyclines	
mma	Methylamine	Organic nitrogen compounds	Organonitrogen compounds	Amines
mmcoa__R	R-Methylmalonyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
mmcoa__S	S-Methylmalonyl-CoA	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters
mmtsa	(S)-Methylmalonic acid semialdehyde	Organic oxygen compounds	Organooxygen compounds	Carbonyl compounds
mn	Beta-1,4-mannose-N-acetylglucosamine	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates
